County,PAC,a1,a2,b1,b2,b3,b4,b5,c1,c2,c3,c4,c5,c6,d1,d2,d3,d4,e1,e2,e3,e4,f1,f2,f3,f4,city,a1_city,a2_city,b1_city,b2_city,b3_city,b4_city,b5_city,c1_city,c2_city,c3_city,c4_city,c5_city,c6_city,d1_city,d2_city,d3_city,d4_city,e1_city,e2_city,e3_city,e4_city,f1_city,f2_city,f3_city,f4_city
玄武区,320102,12121,12,708.36,107834,0,40.97,667.39,65.24,8699,38.34,51277,38871,0,0,0,0,0,0,0,0,0,0,0,0,0,南京市,139316,0,9720.77,118171,232.39,3916.77,5571.61,823.59,1250,455,46104,27794,26.5,11303,9166,11985,197.93,360.9,279.71,1082.17,241.91,56099,28104,15,16343
秦淮区,320104,20926,44,805.49,78271,0,63,742.49,102.24,20865,63.26,57542,37678,0,0,0,0,0,0,0,0,0,0,0,0,0,南京市,139316,0,9720.77,118171,232.39,3916.77,5571.61,823.59,1250,455,46104,27794,26.5,11303,9166,11985,197.93,360.9,279.71,1082.17,241.91,56099,28104,15,16343
建邺区,320105,11624,7,522.86,115371,0,246.27,276.59,45.45,5476,29.3,44980,27792,0,0,0,0,0,0,0,0,0,0,0,0,0,南京市,139316,0,9720.77,118171,232.39,3916.77,5571.61,823.59,1250,455,46104,27794,26.5,11303,9166,11985,197.93,360.9,279.71,1082.17,241.91,56099,28104,15,16343
鼓楼区,320106,22654,28,1178.65,91767,0,97.23,1081.42,127.56,24068,75.98,50526,30839,0,0,0,0,0,0,0,0,0,0,0,0,0,南京市,139316,0,9720.77,118171,232.39,3916.77,5571.61,823.59,1250,455,46104,27794,26.5,11303,9166,11985,197.93,360.9,279.71,1082.17,241.91,56099,28104,15,16343
浦口区,320111,13695,343,822.3,110882,37.75,427.7,356.85,74.94,823,41.2,43687,29112,0,0,0,0,0,0,0,0,0,0,0,0,0,南京市,139316,0,9720.77,118171,232.39,3916.77,5571.61,823.59,1250,455,46104,27794,26.5,11303,9166,11985,197.93,360.9,279.71,1082.17,241.91,56099,28104,15,16343
栖霞区,320113,10506,217,1286.57,190914,7.12,871.63,407.82,67.98,1719,36.02,44612,32737,0,0,0,0,0,0,0,0,0,0,0,0,0,南京市,139316,0,9720.77,118171,232.39,3916.77,5571.61,823.59,1250,455,46104,27794,26.5,11303,9166,11985,197.93,360.9,279.71,1082.17,241.91,56099,28104,15,16343
雨花台区,320114,5583,72,491.57,116155,0.89,130.39,360.29,42.69,3225,21.13,44486,27538,0,0,0,0,0,0,0,0,0,0,0,0,0,南京市,139316,0,9720.77,118171,232.39,3916.77,5571.61,823.59,1250,455,46104,27794,26.5,11303,9166,11985,197.93,360.9,279.71,1082.17,241.91,56099,28104,15,16343
江宁区,320115,17123,669,1652.52,139183,56.08,862.42,734.02,119.14,762,74.31,44735,28693,0,0,0,0,0,0,0,0,0,0,0,0,0,南京市,139316,0,9720.77,118171,232.39,3916.77,5571.61,823.59,1250,455,46104,27794,26.5,11303,9166,11985,197.93,360.9,279.71,1082.17,241.91,56099,28104,15,16343
六合区,320116,11530,502,951.04,102163,56.16,554.98,339.9,93.44,635,49.08,42591,27477,0,0,0,0,0,0,0,0,0,0,0,0,0,南京市,139316,0,9720.77,118171,232.39,3916.77,5571.61,823.59,1250,455,46104,27794,26.5,11303,9166,11985,197.93,360.9,279.71,1082.17,241.91,56099,28104,15,16343
溧水区,320117,8254,489,603.94,142961,36.24,311.29,256.41,42.44,399,31.23,40685,23748,0,0,0,0,0,0,0,0,0,0,0,0,0,南京市,139316,0,9720.77,118171,232.39,3916.77,5571.61,823.59,1250,455,46104,27794,26.5,11303,9166,11985,197.93,360.9,279.71,1082.17,241.91,56099,28104,15,16343
